Date,Close,High,Low,Open,Volume
20/02/15,37.93029022,37.94758669,37.43735238,37.62760695,29721100
23/02/15,38.18110275,38.21569241,37.7487007,37.79194024,32518800
24/02/15,38.1292038,38.31081182,37.98218542,38.18109322,25271700
25/02/15,38.04272461,38.12920368,37.87840976,38.00813166,29759800
26/02/15,38.10326004,38.25027512,37.95624167,38.04272403,28957300
27/02/15,37.92164993,38.22433328,37.75733838,38.16379727,33807700
02/03/15,37.94758987,38.21567693,37.66220305,37.76597858,31924000
03/03/15,37.42871475,37.90435957,37.26440319,37.67086211,31748600
04/03/15,37.23846054,37.36817916,37.08279556,37.1952177,25748700
05/03/15,37.28168869,37.3941141,37.03089482,37.24709575,23193500
06/03/15,36.63308334,37.28168608,36.45147537,37.18655715,36248800
09/03/15,37.05684662,37.29899396,36.48607616,36.48607616,32108000
10/03/15,36.34771347,36.93578049,36.34771347,36.6244505,39159700
11/03/15,36.30446625,36.64173923,36.18339423,36.58985311,32215300
12/03/15,35.47426224,36.01908971,35.33589372,35.74235268,59992500
13/03/15,35.7855835,35.86341597,35.11968415,35.19751663,58007700
16/03/15,35.94124985,36.01043244,35.69910252,35.86341737,35273500
17/03/15,36.06233215,36.17475761,35.58669055,35.77694521,31673400
18/03/15,36.75416183,37.03954867,35.74234296,35.82882202,44194800
19/03/15,36.57255936,36.83199988,36.51202334,36.546613,33879100
20/03/15,37.08279419,37.16927326,36.74552118,36.80605719,71904500
23/03/15,37.06549072,37.29898814,36.99630484,37.08278719,26246100
24/03/15,37.10009003,37.33358419,36.97036812,36.99631118,25513300
25/03/15,35.85478592,37.12604931,35.83748944,37.11739942,43469900
26/03/15,35.63856888,35.98449177,35.38777495,35.64721876,37495600
27/03/15,35.43101501,35.828824,35.309943,35.56073361,34401400
30/03/15,35.42237473,35.92396268,35.37913518,35.54344677,35049700
31/03/15,35.16292572,35.48290223,35.05915018,35.26670126,34887200
01/04/15,35.21481705,35.2494067,34.86024757,35.1110382,36865300
02/04/15,34.84296036,35.23212289,34.69594194,35.16293697,37487500
06/04/15,35.93260574,36.13151027,34.74782518,34.88619369,39223700
07/04/15,35.91531372,36.24394021,35.72505906,35.98449963,28809400
08/04/15,35.8201828,36.05368029,35.49155963,35.85477575,24753400
09/04/15,35.8720665,35.99313852,35.67316199,35.67316199,25723900
10/04/15,36.07962036,36.27852487,35.81152996,36.00178788,28022000
13/04/15,36.11421204,36.37365586,35.79423549,35.80288538,30276700
14/04/15,36.01908493,36.34770805,35.79423406,36.14880354,24244400
15/04/15,36.54661179,36.71957323,36.04502723,36.11420983,27343600
16/04/15,36.4601326,36.61579757,36.16609914,36.27852457,22509700
17/04/15,35.99313736,36.0969162,35.59532836,36.03637689,42387600
20/04/15,37.10874557,37.3335932,36.04503688,36.08827642,46057700
21/04/15,36.87524414,37.31629605,36.78011517,37.18657413,26013800
22/04/15,37.17791367,37.29898566,36.79739791,36.90117344,25064300
23/04/15,37.48059845,37.71409588,37.01360359,37.09143606,46309500
24/04/15,41.39816666,41.63166413,39.47830402,39.4869506,130933700
27/04/15,41.53653717,41.62301955,40.83604801,40.8446946,59248200
28/04/15,42.51375961,42.55699915,41.25114671,41.32032931,60730800
29/04/15,42.42728806,42.64348907,41.9429966,42.13325455,47804600
30/04/15,42.06406403,42.84238891,42.02947108,42.11595345,64725500
01/05/15,42.08135986,42.27161779,41.85651229,42.01217726,38937300
04/05/15,41.71814728,42.26297143,41.66625785,41.83056942,34039500
05/05/15,41.16467285,41.64896432,40.91388218,41.3549308,50369200
06/05/15,40.02313232,41.31169187,39.79828471,41.13873039,52433000
07/05/15,40.38634491,40.72361792,39.91934999,40.01447895,32971700
08/05/15,41.29439926,41.49330383,41.0954947,41.12143777,35364900
11/05/15,40.96576309,41.43275803,40.96576309,41.12142807,24609400
12/05/15,40.94845963,41.23384647,40.14419181,40.51605771,29928300
13/05/15,41.19061279,41.78732633,41.13872337,41.67490089,34184600
14/05/15,42.133255,42.21973409,41.53653809,41.53653809,32980900
15/05/15,41.77003098,42.29756192,41.55382998,42.26296897,28642700
18/05/15,41.51923752,41.70084886,41.17331791,41.49329445,24136500
19/05/15,41.41478729,41.61498447,41.06661627,41.39737841,28574800
20/05/15,41.41478729,41.71943445,41.14495458,41.24940456,25047900
21/05/15,41.27550888,41.43218548,40.91863514,41.15365004,22410700
22/05/15,40.82289886,41.21458712,40.75326333,41.17106657,25720600
26/05/15,40.55307007,40.80549392,40.204899,40.76197337,29581900
27/05/15,41.4408989,41.58016664,40.57917743,40.75326294,27335600
28/05/15,41.30163193,41.79777349,41.24940528,41.34515248,19283700
29/05/15,40.78807449,41.40607482,40.55305958,41.28421597,36519600
01/06/15,41.1101532,41.58018328,40.57919366,40.96218261,28837300
02/06/15,40.84030914,41.21459188,40.5791825,40.84901525,21498300
03/06/15,40.77936935,41.55404962,40.75325769,41.2319903,28002200
04/06/15,40.35287476,41.0492136,40.21360699,40.7271575,27745500
05/06/15,40.16137695,40.49213912,39.90025033,40.30935081,25438100
08/06/15,39.80450439,40.41380209,39.75227774,40.300646,22121600
09/06/15,39.7348671,39.9872876,39.56948437,39.83061097,24406100
10/06/15,40.57048416,40.7619786,39.76969194,39.85673638,28417400
11/06/15,40.42250061,40.84030385,40.15267122,40.61399501,27347800
12/06/15,40.01339722,40.44860927,39.9524678,40.23100324,23931000
15/06/15,39.58689117,39.73486501,39.18649685,39.56077951,33254500
16/06/15,39.89155197,40.24842584,39.43022478,39.47374534,27070300
