Date,MSFT,AMD,Spread_Signal,m
2015-02-20,37.93029022,3.059999943,-0.5716586128511244,2.342089268835176
2015-02-23,38.18110275,3.059999943,-0.5624745914938619,2.342089268835176
2015-02-24,38.1292038,3.109999895,-0.5686629981337898,2.342089268835176
2015-02-25,38.04272461,3.099999905,-0.5709720094274471,2.342089268835176
2015-02-26,38.10326004,3.079999924,-0.5670401714502261,2.342089268835176
2015-02-27,37.92164993,3.109999895,-0.5762630138700949,2.342089268835176
2015-03-02,37.94758987,3.210000038,-0.5838892273590892,2.342089268835176
2015-03-03,37.42871475,3.140000105,-0.5968856903922433,2.342089268835176
2015-03-04,37.23846054,3.049999952,-0.5961337886792238,2.342089268835176
2015-03-05,37.28168869,2.980000019,-0.5885476738137887,2.342089268835176
2015-03-06,36.63308334,2.920000076,-0.6071520822177763,2.342089268835176
2015-03-09,37.05684662,2.930000067,-0.5924927140080787,2.342089268835176
2015-03-10,36.34771347,2.920000076,-0.6176014923042629,2.342089268835176
2015-03-11,36.30446625,2.839999914,-0.6123242283585072,2.342089268835176
2015-03-12,35.47426224,2.75999999,-0.6358630410494912,2.342089268835176
2015-03-13,35.7855835,2.75,-0.6236057632158521,2.342089268835176
2015-03-16,35.94124985,2.75999999,-0.6187633204581117,2.342089268835176
2015-03-17,36.06233215,2.769999981,-0.615187244557443,2.342089268835176
2015-03-18,36.75416183,2.75,-0.5881392573403215,2.342089268835176
2015-03-19,36.57255936,2.74000001,-0.5939314049633038,2.342089268835176
2015-03-20,37.08279419,2.799999952,-0.5803937202568351,2.342089268835176
2015-03-23,37.06549072,2.839999914,-0.5844577378531107,2.342089268835176
2015-03-24,37.10009003,2.789999962,-0.5789027934378691,2.342089268835176
2015-03-25,35.85478592,2.630000114,-0.6107805275906266,2.342089268835176
2015-03-26,35.63856888,2.650000095,-0.6204129708413281,2.342089268835176
2015-03-27,35.43101501,2.720000029,-0.6340162130948458,2.342089268835176
2015-03-30,35.42237473,2.700000048,-0.6326173873161933,2.342089268835176
2015-03-31,35.16292572,2.680000067,-0.6404024437499163,2.342089268835176
2015-04-01,35.21481705,2.690000057,-0.6393599387386284,2.342089268835176
2015-04-02,34.84296036,2.690000057,-0.6529762432462262,2.342089268835176
2015-04-06,35.93260574,2.700000048,-0.6139342198804291,2.342089268835176
2015-04-07,35.91531372,2.700000048,-0.6145674030829996,2.342089268835176
2015-04-08,35.8201828,2.710000038,-0.6189084229059487,2.342089268835176
2015-04-09,35.8720665,2.720000029,-0.6178661973687077,2.342089268835176
2015-04-10,36.07962036,2.75999999,-0.6136965970410028,2.342089268835176
2015-04-13,36.11421204,2.779999971,-0.6141451584454997,2.342089268835176
2015-04-14,36.01908493,2.670000076,-0.6081947934585817,2.342089268835176
2015-04-15,36.54661179,2.700000048,-0.5914511139658704,2.342089268835176
2015-04-16,36.4601326,2.869999886,-0.6091969932506217,2.342089268835176
2015-04-17,35.99313736,2.579999924,-0.6014264631828017,2.342089268835176
2015-04-20,37.10874557,2.49000001,-0.5528577190892,2.342089268835176
2015-04-21,36.87524414,2.349999905,-0.5494013852304368,2.342089268835176
2015-04-22,37.17791367,2.279999971,-0.53231528566971,2.342089268835176
2015-04-23,37.48059845,2.329999924,-0.5255198731689111,2.342089268835176
2015-04-24,41.39816666,2.299999952,-0.37949717070318295,2.342089268835176
2015-04-27,41.53653717,2.339999914,-0.37786086241426387,2.342089268835176
2015-04-28,42.51375961,2.309999943,-0.3395050232066292,2.342089268835176
2015-04-29,42.42728806,2.279999971,-0.3400985470959741,2.342089268835176
2015-04-30,42.06406403,2.25999999,-0.3516835412761499,2.342089268835176
2015-05-01,42.08135986,2.309999943,-0.35533823751563925,2.342089268835176
2015-05-04,41.71814728,2.309999943,-0.3686380199943953,2.342089268835176
2015-05-05,41.16467285,2.279999971,-0.3863318236178631,2.342089268835176
2015-05-06,40.02313232,2.289999962,-0.4289893032611992,2.342089268835176
